show_id,category,title,director,cast,country,release_date,rating,duration,type,description,release_year,release_month,duration_value,duration_unit
s1,TV Show,3%,"raúl campos, jan suter","joão miguel, bianca comparato, michel gomes, rodolfo valente, vaneza oliveira, rafael lozano, viviane porto, mel fronckowiak, sergio mamberti, zezé motta, celso frateschi",brazil,2020-08-14,TV-MA,4 Seasons,"international tv shows, tv dramas, tv sci-fi & fantasy","in a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",2020,8,4,Seasons
s2,Movie,07:19,jorge michel grau,"demián bichir, héctor bonilla, oscar serrano, azalia ortiz, octavio michel, carmen beato",mexico,2016-12-23,TV-MA,93 min,"dramas, international movies","after a devastating earthquake hits mexico city, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",2016,12,93,min
s3,Movie,23:59,gilbert chan,"tedd chan, stella chung, henley hii, lawrence koh, tommy kuan, josh lai, mark lee, susan leong, benjamin lim",singapore,2018-12-20,R,78 min,"horror movies, international movies","when an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",2018,12,78,min
s4,Movie,9,shane acker,"elijah wood, john c. reilly, jennifer connelly, christopher plummer, crispin glover, martin landau, fred tatasciore, alan oppenheimer, tom kane",united states,2017-11-16,PG-13,80 min,"action & adventure, independent movies, sci-fi & fantasy","in a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",2017,11,80,min
s5,Movie,21,robert luketic,"jim sturgess, kevin spacey, kate bosworth, aaron yoo, liza lapira, jacob pitts, laurence fishburne, jack mcgee, josh gad, sam golzari, helen carey, jack gilpin",united states,2020-01-01,PG-13,123 min,dramas,a brilliant group of students become card-counting experts with the intent of swindling millions out of las vegas casinos by playing blackjack.,2020,1,123,min
s6,TV Show,46,serdar akar,"erdal beşikçioğlu, yasemin allen, melis birkan, saygın soysal, berkan şal, metin belgin, ayça eren, selin uludoğan, özay fecht, suna yıldızoğlu",turkey,2017-07-01,TV-MA,1 Season,"international tv shows, tv dramas, tv mysteries","a genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",2017,7,1,Season
s7,Movie,122,yasir al yasiri,"amina khalil, ahmed dawood, tarek lotfy, ahmed el fishawy, mahmoud hijazi, jihane khalil, asmaa galal, tara emad",egypt,2020-06-01,TV-MA,95 min,"horror movies, international movies","after an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",2020,6,95,min
s8,Movie,187,kevin reynolds,"samuel l. jackson, john heard, kelly rowan, clifton collins jr., tony plana",united states,2019-11-01,R,119 min,dramas,"after one of his high school students attacks him, dedicated teacher trevor garfield grows weary of the gang warfare in the new york city school system and moves to california to teach there, thinking it must be a less hostile environment.",2019,11,119,min
s9,Movie,706,shravan kumar,"divya dutta, atul kulkarni, mohan agashe, anupam shyam, raayo s. bakhirta, yashvit sancheti, greeva kansara, archan trivedi, rajiv pathak",india,2019-04-01,TV-14,118 min,"horror movies, international movies","when a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",2019,4,118,min
s10,Movie,1920,vikram bhatt,"rajneesh duggal, adah sharma, indraneil sengupta, anjori alagh, rajendranath zutshi, vipin sharma, amin hajee, shri vallabh vyas",india,2017-12-15,TV-MA,143 min,"horror movies, international movies, thrillers",an architect and his wife move into a castle that is slated to become a luxury hotel. but something inside is determined to stop the renovation.,2017,12,143,min
s11,Movie,1922,zak hilditch,"thomas jane, molly parker, dylan schmid, kaitlyn bernard, bob frazer, brian d'arcy james, neal mcdonough",united states,2017-10-20,TV-MA,103 min,"dramas, thrillers","a farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. based on stephen king's novella.",2017,10,103,min
s12,TV Show,1983,"raúl campos, jan suter","robert więckiewicz, maciej musiał, michalina olszańska, andrzej chyra, clive russell, zofia wichłacz, edyta olszówka, mateusz kościukiewicz, ewa błaszczyk, vu le hong, tomasz włosok, krzysztof wach","poland, united states",2018-11-30,TV-MA,1 Season,"crime tv shows, international tv shows, tv dramas","in this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized poland for decades.",2018,11,1,Season
